# X   Y
 0.00 5.00
 0.00 5.00
 0.00 5.00
 24.00 3.50
 73.00 3.50
 0.00 4.50
 30.00 3.50
 15.00 5.00
 33.00 5.00
 22.00 3.50
 6.00 4.50
 19.00 4.00
 10.00 3.00
 183.00 4.00
 11.00 4.50
 103.00 4.00
 0.00 5.00
 74.00 4.00
 27.00 4.00
 12.00 4.50
 0.00 5.00
 5.00 3.00
 19.00 3.50
 22.00 2.50
 26.00 3.50
 714.00 4.50
 358.00 3.00
 144.00 4.00
 0.00 3.50
 35.00 3.00
 17.00 5.00
 18.00 3.50
 0.00 5.00
 7.00 3.00
 0.00 4.00
 0.00 5.00
 36.00 4.00
 52.00 4.50
 27.00 4.50
 0.00 4.50
 0.00 4.50
 84.00 2.50
 62.00 4.00
 3.00 3.50
 0.00 3.50
 10.00 4.50
 6.00 4.00
 217.00 3.50
 26.00 4.50
 262.00 4.00
 12.00 3.50
 0.00 4.00
 8.00 3.00
 0.00 3.00
 0.00 4.50
 34.00 2.50
 0.00 5.00
 6.00 4.50
 87.00 3.50
 0.00 3.00
 0.00 3.50
 165.00 4.00
 1328.00 4.50
 0.00 5.00
 31.00 2.00
 0.00 2.00
 24.00 2.50
 29.00 2.50
 10.00 4.00
 39.00 4.00
 16.00 2.50
 51.00 3.50
 147.00 4.00
 3.00 5.00
 235.00 3.50
 151.00 3.50
 96.00 2.00
 14.00 2.50
 0.00 4.00
 151.00 3.50
 8.00 2.50
 63.00 3.50
 64.00 2.50
 35.00 3.50
 0.00 4.00
 6.00 4.50
 37.00 3.50
 62.00 4.00
 7.00 5.00
 7.00 3.50
 55.00 4.00
 36.00 5.00
 23.00 3.50
 59.00 4.00
 75.00 3.00
 90.00 3.00
 7.00 3.00
 15.00 4.00
 12.00 5.00
 13.00 5.00
 0.00 2.50
 0.00 4.50
 49.00 2.50
 0.00 5.00
 194.00 3.50
 7.00 4.00
 17.00 4.50
 1464.00 4.00
 0.00 2.50
 0.00 2.00
 8.00 3.00
 0.00 3.50
 0.00 4.50
 13.00 2.50
 23.00 3.00
 57.00 3.50
 0.00 4.50
 3.00 3.50
 221.00 4.00
 460.00 3.50
 332.00 3.00
 4.00 4.00
 637.00 4.50
 89.00 3.00
 0.00 3.50
 9.00 4.50
 11.00 5.00
 87.00 3.50
 11.00 4.50
 179.00 5.00
 21.00 5.00
 3.00 4.50
 0.00 5.00
 62.00 3.00
 48.00 3.00
 6.00 2.50
 44.00 3.00
 1369.00 4.00
 0.00 5.00
 8.00 4.00
 29.00 3.00
 0.00 3.50
 0.00 2.50
 0.00 4.50
 65.00 2.00
 61.00 4.00
 58.00 4.50
 244.00 3.50
 0.00 4.00
 0.00 5.00
 142.00 3.50
 0.00 4.00
 0.00 5.00
 120.00 4.50
 316.00 4.00
 0.00 4.50
 5.00 1.00
 16.00 3.50
 0.00 4.50
 0.00 4.00
 0.00 3.50
 0.00 5.00
 0.00 5.00
 56.00 3.50
 45.00 4.00
 20.00 3.50
 8.00 4.50
 40.00 3.00
 0.00 2.50
 46.00 3.50
 13.00 4.50
 141.00 4.00
 171.00 4.00
 19.00 4.00
 0.00 4.00
 84.00 3.00
 0.00 2.00
 31.00 4.50
 12.00 3.00
 54.00 3.00
 56.00 4.00
 5.00 3.00
 353.00 4.00
 77.00 3.00
 69.00 3.50
 0.00 1.00
 31.00 2.50
 20.00 3.50
 107.00 3.50
 0.00 3.00
 0.00 3.00
 29.00 3.00
 0.00 4.00
 11.00 3.50
 17.00 4.00
 99.00 3.00
 0.00 4.50
 89.00 3.50
